sign,0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,11_0,11_1,11_2,12_0,12_1,12_2,13_0,13_1,13_2,14_0,14_1,14_2,15_0,15_1,15_2,16_0,16_1,16_2,17_0,17_1,17_2,18_0,18_1,18_2,19_0,19_1,19_2,20_0,20_1,20_2,source
5,0.0,0.0,0.0,-0.3002,0.3513,-0.2378,-0.4327,0.6885,-0.3313,-0.5034,0.9272,-0.4269,-0.4947,1.0977,-0.4863,-0.2278,1.0647,0.0704,-0.4309,1.1099,-0.4969,-0.4969,1.0591,-0.8738,-0.5238,0.9896,-1.113,-0.0621,0.9852,0.0968,-0.3224,1.0276,-0.5172,-0.4311,0.9784,-0.8984,-0.5076,0.9123,-1.1925,0.0888,0.8465,0.0536,-0.1684,0.9025,-0.5349,-0.3236,0.8797,-0.8672,-0.4471,0.8372,-1.1162,0.2101,0.6727,-0.0536,-0.0039,0.7729,-0.51,-0.1578,0.7911,-0.7776,-0.3024,0.7919,-0.9922,9
5,0.0,0.0,0.0,-0.3002,0.3513,-0.2378,-0.4327,0.6885,-0.3313,-0.5034,0.9272,-0.4269,-0.4947,1.0977,-0.4863,-0.2278,1.0647,0.0704,-0.4309,1.1099,-0.4969,-0.4969,1.0591,-0.8738,-0.5238,0.9896,-1.113,-0.0621,0.9852,0.0968,-0.3224,1.0276,-0.5172,-0.4311,0.9784,-0.8984,-0.5076,0.9123,-1.1925,0.0888,0.8465,0.0536,-0.1684,0.9025,-0.5349,-0.3236,0.8797,-0.8672,-0.4471,0.8372,-1.1162,0.2101,0.6727,-0.0536,-0.0039,0.7729,-0.51,-0.1578,0.7911,-0.7776,-0.3024,0.7919,-0.9922,9
7,0.0,0.0,0.0,-0.1579,0.1317,-0.3202,-0.3787,0.4323,-0.5033,-0.5523,0.688,-0.6723,-0.7102,0.8766,-0.8515,-0.3113,0.9899,-0.1361,-0.2625,1.4665,-0.2055,-0.2193,1.7666,-0.2376,-0.1871,2.0199,-0.2386,-0.1172,0.9887,-0.0454,0.2589,1.1025,-0.2746,0.3251,0.76,-0.4779,0.2666,0.5429,-0.5644,0.0874,0.9213,-0.0027,0.4425,0.9987,-0.2425,0.3954,0.6718,-0.3417,0.2602,0.4778,-0.3417,0.2807,0.8165,0.0027,0.5264,0.9447,-0.1239,0.4718,0.6935,-0.1853,0.3408,0.5256,-0.1921,9
14,0.0,0.0,0.0,-0.2815,0.1368,-0.2503,-0.5365,0.4742,-0.3396,-0.591,0.8803,-0.3621,-0.4308,1.1422,-0.3578,-0.3696,1.0008,-0.0206,-0.3399,1.538,-0.0824,-0.2929,1.847,-0.1322,-0.2601,2.1141,-0.1574,-0.134,0.9862,0.0167,0.0905,1.2441,-0.2842,0.152,0.9009,-0.4967,0.1162,0.6056,-0.5806,0.0841,0.9358,0.0156,0.2896,1.15,-0.2731,0.2635,0.7932,-0.3726,0.1613,0.5057,-0.3646,0.2827,0.8488,-0.0156,0.4439,1.0633,-0.1863,0.3966,0.8363,-0.2503,0.2918,0.6244,-0.2527,9
16,0.0,0.0,0.0,-0.2334,0.2317,-0.1811,-0.3452,0.6213,-0.1986,-0.2846,1.038,-0.2062,-0.1687,1.3748,-0.2092,-0.274,0.964,0.0843,-0.23,1.5745,-0.0528,-0.1309,1.6746,-0.2163,-0.0817,1.5337,-0.3424,-0.0152,0.989,0.089,0.1482,1.3393,-0.2577,0.1206,1.0072,-0.4867,0.0188,0.7339,-0.5402,0.2102,0.9867,0.0391,0.3491,1.2304,-0.3321,0.2584,0.8303,-0.4245,0.1303,0.5534,-0.364,0.4104,0.9592,-0.0391,0.5441,1.1469,-0.2829,0.4496,0.8498,-0.3411,0.3209,0.6411,-0.2872,9
16,0.0,0.0,0.0,-0.217,0.2495,-0.2319,-0.3196,0.6712,-0.2604,-0.2647,1.0947,-0.279,-0.197,1.4303,-0.2759,-0.2822,0.9923,0.0662,-0.179,1.64,-0.0973,-0.0395,1.6893,-0.2862,0.0158,1.5292,-0.4082,-0.0118,0.9913,0.0807,0.2014,1.3857,-0.2648,0.1839,1.0266,-0.4862,0.0671,0.7588,-0.5247,0.2079,0.9667,0.0362,0.3889,1.2508,-0.3326,0.3051,0.8491,-0.4171,0.1631,0.6001,-0.3431,0.4026,0.9227,-0.0362,0.5738,1.1524,-0.2663,0.4869,0.8529,-0.3121,0.3357,0.6497,-0.2498,9
16,0.0,0.0,0.0,-0.214,0.224,-0.2517,-0.3105,0.6581,-0.2874,-0.2371,1.1065,-0.3103,-0.1621,1.4448,-0.3191,-0.2832,0.9886,0.0597,-0.2049,1.6196,-0.1374,-0.0621,1.6916,-0.3391,0.0132,1.5487,-0.4645,-0.0106,0.9917,0.0796,0.1939,1.3764,-0.2808,0.1789,0.9881,-0.4984,0.0703,0.7162,-0.5243,0.2098,0.9662,0.0363,0.3875,1.2477,-0.3504,0.3024,0.8259,-0.4209,0.1649,0.5704,-0.3302,0.4023,0.9152,-0.0363,0.5694,1.1368,-0.283,0.4796,0.8297,-0.3156,0.3273,0.6279,-0.238,9
17,0.0,0.0,0.0,-0.1601,0.326,-0.558,-0.0808,0.7829,-0.8325,0.0789,1.1094,-1.0747,0.229,1.3014,-1.2919,-0.2124,1.1038,-0.2053,-0.1752,1.6283,-0.3482,-0.1668,1.9478,-0.4204,-0.1499,2.1619,-0.4917,-0.0603,0.989,-0.0669,0.0787,1.338,-0.6376,0.1944,1.3663,-1.0333,0.3155,1.3617,-1.3393,0.1008,0.8555,-0.0095,0.2125,1.1912,-0.5457,0.2924,1.2229,-0.872,0.3891,1.2374,-1.102,0.2531,0.7338,0.0095,0.3252,1.0109,-0.4473,0.3633,1.0245,-0.6845,0.4095,0.9996,-0.8194,9
17,0.0,0.0,0.0,-0.1214,0.2728,-0.4573,-0.0056,0.634,-0.6418,0.2524,0.9535,-0.8024,0.473,1.1391,-0.9255,-0.2295,1.053,-0.1615,-0.2491,1.5956,-0.2161,-0.3045,1.9816,-0.2411,-0.3305,2.271,-0.2746,-0.0184,0.9944,-0.0605,0.1552,1.2426,-0.3718,0.3428,1.2956,-0.667,0.5248,1.3358,-0.8951,0.1865,0.8662,-0.0152,0.3416,1.1036,-0.3564,0.4812,1.1563,-0.6342,0.6279,1.2053,-0.822,0.3645,0.7426,0.0152,0.4803,0.9485,-0.3091,0.5507,0.9648,-0.5103,0.6262,0.9667,-0.6304,9
19,0.0,0.0,0.0,-0.3161,0.2064,-0.1193,-0.4334,0.6227,-0.0931,-0.2598,1.055,-0.0526,-0.0346,1.3462,-0.0231,-0.2859,0.9384,0.114,-0.2646,1.4306,-0.0102,-0.2166,1.2798,-0.2219,-0.2081,1.0474,-0.3644,-0.0303,0.9831,0.1085,0.0737,1.358,-0.089,0.0277,0.9936,-0.2817,-0.0656,0.6976,-0.3581,0.1908,0.9715,0.0469,0.2866,1.2883,-0.1462,0.1765,0.864,-0.2152,0.0594,0.5548,-0.1961,0.3863,0.9181,-0.0469,0.4455,1.1226,-0.1727,0.3247,0.8277,-0.2058,0.2159,0.6134,-0.1787,9
20,0.0,0.0,0.0,-0.2434,0.3002,-0.2826,-0.3108,0.6483,-0.37,-0.0688,0.9691,-0.4577,0.1605,1.2211,-0.523,-0.2862,0.9442,0.0829,-0.157,1.2589,-0.1992,-0.0787,1.2201,-0.5107,-0.0317,1.168,-0.6746,-0.0222,0.9813,0.1164,0.0041,1.484,0.031,-0.0008,1.7612,-0.0111,-0.0031,2.04,0.0393,0.2039,0.9523,0.0581,0.275,1.3044,-0.2063,0.1976,0.9913,-0.4021,0.1162,0.7431,-0.4391,0.3884,0.8687,-0.0581,0.3948,1.0874,-0.2349,0.2929,0.8308,-0.315,0.2015,0.6182,-0.3187,9
22,0.0,0.0,0.0,-0.3172,0.1016,-0.3155,-0.3857,0.3687,-0.5521,-0.3625,0.4868,-0.8084,-0.3051,0.5602,-1.0218,-0.2681,1.0115,-0.182,-0.292,1.4628,-0.2788,-0.3271,1.7749,-0.2679,-0.364,2.0,-0.2389,-0.0679,0.9911,-0.0652,-0.0797,1.045,-0.4422,-0.095,0.8309,-0.673,-0.0922,0.6216,-0.8083,0.1237,0.8963,-0.0098,0.0921,0.9524,-0.349,0.0287,0.7654,-0.5526,0.0012,0.594,-0.6516,0.2962,0.7944,0.0098,0.2293,0.835,-0.2828,0.1659,0.6962,-0.4317,0.1419,0.5606,-0.4925,9
26,0.0,0.0,0.0,-0.184,0.3464,-0.3774,-0.2036,0.6568,-0.4706,0.0283,0.9045,-0.544,0.2605,1.1602,-0.5805,-0.2354,1.0118,-0.0467,-0.0753,1.4728,-0.1604,0.0374,1.7715,-0.2287,0.1468,2.0331,-0.2268,0.0045,0.9979,0.0436,0.005,1.5494,0.0323,0.0332,1.8249,0.0635,0.0716,2.0691,0.1634,0.2177,0.9114,0.0359,0.3888,1.1865,-0.3126,0.3304,0.905,-0.5115,0.2593,0.6891,-0.5189,0.4025,0.7881,-0.0359,0.4985,0.9757,-0.3543,0.3908,0.7694,-0.5003,0.2939,0.6018,-0.5181,9
29,0.0,0.0,0.0,-0.2563,0.1613,-0.2331,-0.3871,0.4822,-0.3327,-0.2138,0.7363,-0.4264,0.0852,0.8572,-0.5053,-0.2518,0.9491,0.0451,-0.206,1.3713,-0.1384,-0.2091,1.2173,-0.354,-0.1854,0.9949,-0.4865,-0.0057,0.9936,0.0702,0.0596,1.48,-0.0938,0.0205,1.2482,-0.2779,0.0148,1.0033,-0.3593,0.2195,0.9733,0.0355,0.2889,1.4067,-0.1028,0.2055,1.1814,-0.2018,0.1653,0.9289,-0.229,0.4394,0.9013,-0.0355,0.4713,1.2132,-0.1387,0.3724,1.1132,-0.198,0.3016,0.9313,-0.2229,9
30,0.0,0.0,0.0,-0.2497,0.1802,-0.3649,-0.2868,0.4624,-0.455,-0.0586,0.6847,-0.5242,0.1374,0.8637,-0.5755,-0.3477,0.9719,-0.0564,-0.3246,1.4099,-0.1378,-0.3113,1.6857,-0.2086,-0.3047,1.9285,-0.2365,-0.1219,0.9917,0.0201,-0.1287,1.4421,-0.0559,-0.1285,1.7452,-0.1043,-0.1479,1.9878,-0.1054,0.0818,0.9168,0.0217,0.1156,1.1483,-0.2246,0.1229,0.927,-0.386,0.1075,0.7568,-0.4115,0.2547,0.7966,-0.0217,0.3005,0.9683,-0.2362,0.2755,0.8211,-0.3387,0.2401,0.6866,-0.3625,9
32,0.0,0.0,0.0,-0.2297,0.4175,-0.3757,-0.2661,0.7354,-0.6708,-0.2152,0.9766,-0.8859,-0.151,1.2046,-0.9659,-0.2608,1.0987,-0.2038,-0.1167,1.4663,-0.5606,-0.0701,1.3446,-0.8304,-0.0655,1.18,-0.9202,-0.0858,0.9708,-0.0676,0.0322,1.4313,-0.3853,0.0504,1.3558,-0.6709,0.0317,1.2041,-0.7998,0.0894,0.7977,-0.0136,0.1833,1.1431,-0.3136,0.1863,1.1089,-0.5671,0.1616,1.0057,-0.6846,0.2463,0.6235,0.0136,0.3045,0.8631,-0.2199,0.2951,0.8846,-0.4028,0.279,0.8569,-0.5167,9
43,0.0,0.0,0.0,-0.436,0.3124,-0.3191,-0.6055,0.688,-0.6458,-0.6808,0.941,-0.9383,-0.7036,1.1833,-1.1626,-0.3759,1.0158,-0.1129,-0.3606,1.4525,0.1255,-0.3995,1.753,0.0016,-0.4149,1.9592,-0.1649,-0.1197,0.9875,-0.0061,-0.2216,1.4344,-0.2568,-0.3052,1.3613,-0.5023,-0.3271,1.1423,-0.59,0.0994,0.9331,0.0183,-0.0165,1.3329,-0.2942,-0.1115,1.1976,-0.4745,-0.1226,1.0081,-0.5132,0.2824,0.8904,-0.0183,0.1715,1.1482,-0.277,0.089,1.0555,-0.4267,0.0805,0.9063,-0.4502,9
43,0.0,0.0,0.0,-0.3064,0.2769,-0.2502,-0.367,0.6188,-0.3943,-0.3389,0.8915,-0.5282,-0.2807,1.1242,-0.7321,-0.3086,1.0076,0.0946,-0.2904,1.4216,0.0907,-0.3095,1.6836,0.0409,-0.3443,1.8906,-0.0051,-0.1016,0.9669,0.1391,-0.2714,1.3558,-0.3923,-0.2419,1.0757,-0.4666,-0.2011,0.906,-0.3476,0.1092,0.8907,0.0608,-0.0493,1.2365,-0.5026,-0.0642,0.9193,-0.5102,-0.0463,0.7288,-0.3496,0.3085,0.8151,-0.0608,0.2287,1.0451,-0.544,0.2383,0.868,-0.5642,0.2627,0.737,-0.4456,9
46,0.0,0.0,0.0,-0.2148,0.184,-0.3372,-0.301,0.4078,-0.5006,-0.0824,0.6081,-0.6247,0.1696,0.8187,-0.7234,-0.2877,0.9597,0.021,-0.3949,1.4643,-0.0528,-0.3419,1.6332,-0.1945,-0.2696,1.543,-0.3451,-0.0046,0.99,0.0884,0.0675,1.4999,0.0854,0.1612,1.7221,0.0234,0.2221,1.7042,-0.0662,0.2001,0.9178,0.052,0.3576,1.3391,-0.0109,0.4212,1.5044,-0.0845,0.4486,1.4969,-0.1597,0.3773,0.7744,-0.052,0.4359,0.9433,-0.2835,0.3697,0.8528,-0.4448,0.2934,0.6704,-0.5608,9
46,0.0,0.0,0.0,-0.2657,0.2283,-0.3405,-0.3727,0.5093,-0.4738,-0.1491,0.7427,-0.5971,0.1261,0.9777,-0.6981,-0.2908,0.9605,0.0282,-0.3962,1.42,-0.0843,-0.4177,1.6125,-0.2472,-0.4403,1.5594,-0.4217,-0.0069,0.9906,0.0886,0.0156,1.4793,0.0153,0.041,1.7502,-0.1125,0.0071,1.7608,-0.2711,0.2001,0.9278,0.0507,0.3362,1.3827,-0.0528,0.3135,1.5233,-0.1962,0.2249,1.4768,-0.3348,0.377,0.8036,-0.0507,0.434,1.0756,-0.2904,0.3522,1.0708,-0.4785,0.2248,0.9483,-0.6206,9
